model,evidence,n,requires_precision,requires_recall,requires_f1,produces_precision,produces_recall,produces_f1,risk_accuracy,cost_accuracy,exact_match,valid_json,normalization_ok
us.anthropic.claude-3-5-haiku-20241022-v1:0,hybrid,100,0.9490000000000001,0.96,0.9523809523809524,0.8825,0.93,0.894,0.63,1.0,0.59,0.98,1.0
us.anthropic.claude-3-5-haiku-20241022-v1:0,traces,100,0.7815000000000001,0.8466666666666666,0.7956190476190477,0.88,0.94,0.9,0.63,1.0,0.41,0.99,1.0
us.anthropic.claude-opus-4-8,hybrid,100,1.0,1.0,1.0,0.98,0.99,0.9833333333333333,0.79,0.98,0.77,1.0,1.0
us.anthropic.claude-opus-4-8,traces,100,0.9466666666666665,0.9533333333333335,0.9486666666666665,0.9425,0.98,0.9540000000000001,0.77,0.92,0.67,1.0,1.0
us.anthropic.claude-sonnet-4-6,hybrid,100,1.0,1.0,1.0,0.99,0.99,0.99,0.75,0.98,0.74,1.0,1.0
us.anthropic.claude-sonnet-4-6,traces,100,0.8983333333333333,0.9266666666666665,0.9079999999999999,0.965,0.97,0.9666666666666666,0.71,0.87,0.6,1.0,1.0
us.meta.llama3-3-70b-instruct-v1:0,hybrid,100,0.9875,1.0,0.9906666666666666,0.8336666666666668,0.86,0.84,0.63,1.0,0.53,1.0,1.0
us.meta.llama3-3-70b-instruct-v1:0,traces,100,0.6056666666666667,0.6783333333333332,0.6237142857142857,0.9175,0.95,0.9256666666666666,0.63,1.0,0.36,1.0,0.98
